"holiday","recipe","star_rate","review_count","madeit_count"
"4th of July ","Red, White, and Blueberry Grilled Chicken",4.71,27,283
"4th of July ","No-Bake Cheesecake Flag Cake",4.46,84,737
"4th of July ","Boston Baked Beans",4.56,787,1000
"4th of July ","Mom's Big Burgers",4.34,36,46
"4th of July ","Rosemary Ranch Chicken Kabobs",4.7,2730,4000
"4th of July ","Seven Layer Taco Dip",4.73,1758,2000
"4th of July ","Unbelievable Chicken",4.48,1496,2000
"4th of July ","Baby Back Ribs",4.77,1412,2000
"4th of July ","Alyson's Broccoli Salad",4.79,1114,1000
"4th of July ","Marinated Flank Steak",4.63,987,1000
"4th of July ","Awesome Pasta Salad",4.64,384,924
"4th of July ","Fresh Southern Peach Cobbler",4.7,2311,4000
"4th of July ","Baked Fresh Cherry Pie",4.54,232,264
"4th of July ","Guacamole",4.81,3913,6000
"4th of July ","BBQ Pork for Sandwiches",4.79,2446,3000
"4th of July ","American Lasagna",4.68,1759,2000
"4th of July ","Actually Delicious Turkey Burgers",4.57,1570,2000
"4th of July ","Red Skinned Potato Salad",4.71,1522,2000
"4th of July ","Slow-Cooker Barbecue Ribs",4.51,1352,2000
"4th of July ","Simple BBQ Ribs",4.81,1021,2000
"4th of July ","American Potato Salad",4.58,201,308
"4th of July ","Garlic Corn on the Cob",4.35,150,163
"4th of July ","Fresh Southern Peach Cobbler",4.7,2311,4000
"4th of July ","Sweet Restaurant Slaw",4.76,2010,3000
"4th of July ","Honey Mustard Grilled Chicken",4.54,1643,544
"4th of July ","Classic Macaroni Salad",4.47,1673,2000
"4th of July ","Blonde Brownies I",4.48,1245,487
"4th of July ","Judy's Strawberry Pretzel Salad",4.74,1089,2000
"4th of July ","Key West Chicken",4.3,901,1000
"Christmas ","Make-Ahead Sour Cream Coffee Cake",4.76,67,102
"Christmas ","Marzipan Christmas Kringle (Juleskringle)",4.82,10,18
"Christmas ","Grandma's Gingerbread Pancakes",4.2,138,192
"Christmas ","Best Chocolate Chip Cookies",4.6,8150,9000
"Christmas ","Mom's Zucchini Bread",4.76,6170,5000
"Christmas ","Carrot Cake III",4.72,4737,2000
"Christmas ","Big Soft Ginger Cookies",4.74,4154,5000
"Christmas ","Amish White Bread",4.8,3988,2000
"Christmas ","Brooke's Best Bombshell Brownies",4.62,3110,4000
"Christmas ","Christmas Cake",4.68,73,37
"Christmas ","Amazingly Good Eggnog",4.72,695,924
"Christmas ","Christmas Stollen",4.34,71,86
"Christmas ","Banana Crumb Muffins",4.8,9339,12000
"Christmas ","Award Winning Soft Chocolate Chip Cookies",4.65,8081,10000
"Christmas ","Best Big, Fat, Chewy Chocolate Chip Cookie",4.62,7635,11000
"Christmas ","Too Much Chocolate Cake",4.78,4876,2000
"Christmas ","Taco Seasoning I",4.82,4003,8000
"Christmas ","Janet's Rich Banana Bread",4.82,4031,8000
"Christmas ","Beth's Spicy Oatmeal Raisin Cookies",4.74,3627,471
"Christmas ","Iced Pumpkin Cookies",4.72,3017,1000
"Christmas ","Peppermint Brittle",4.67,353,39
"Christmas ","Buche de Noel",4.63,206,314
"Christmas ","Eggnog Cheesecake III",4.64,299,476
"Christmas ","Banana Banana Bread",4.57,9223,15000
"Christmas ","The Best Rolled Sugar Cookies",4.43,7210,3000
"Christmas ","Chantal's New York Cheesecake",4.72,4931,2000
"Christmas ","Easy Sugar Cookies",4.48,4619,2000
"Christmas ","Banana Sour Cream Bread",4.77,3873,2000
"Christmas ","Annie's Fruit Salsa and Cinnamon Chips",4.78,3216,4000
"Cinco de Mayo ","Slow Cooker Carnitas",4.59,1130,2000
"Cinco de Mayo ","Cinco de Chili Chocolate Cupcakes with Chili Cream Cheese Frosting",4.33,60,96
"Cinco de Mayo ","Authentic Enchiladas Verdes",4.7,440,512
"Cinco de Mayo ","D's Famous Salsa",4.67,801,1000
"Cinco de Mayo ","Chicken Chimichangas with Sour Cream Sauce",4.74,396,564
"Cinco de Mayo ","Easy Chicken Fajita Soup",4.69,242,465
"Cinco de Mayo ","Chicken Enchiladas with Creamy Green Chile Sauce",4.51,244,330
"Cinco de Mayo ","Sweet Potato Enchiladas",4.59,139,207
"Cinco de Mayo ","Fish Tacos Ultimo",4.59,118,214
"Cinco de Mayo ","Ex-Girlfriend's Mom's Salsa Fresca (Pico de Gallo)",4.8,100,184
"Cinco de Mayo ","Authentic Mexican Tortillas",3.82,350,54
"Cinco de Mayo ","Frozen Margarita Pie",4.69,22,51
"Cinco de Mayo ","Traditional Mexican Guacamole",4.72,72,257
"Cinco de Mayo ","Angela's Awesome Enchiladas",4.72,1747,3000
"Cinco de Mayo ","Lola's Horchata",4.47,330,592
"Cinco de Mayo ","Margarita Cake",4.58,320,363
"Cinco de Mayo ","Lisa's Favorite Carne Asada Marinade",4.69,243,432
"Cinco de Mayo ","Chicken Fajita Melts",4.52,206,258
"Cinco de Mayo ","Enchiladas Verdes",4.63,122,213
"Cinco de Mayo ","Cinco de Mayo Salsa Cruda",4.27,19,34
"Cinco de Mayo ","Classic Frozen Strawberry Margarita",4.71,5,10
"Cinco de Mayo ","Slow Cooker Carnitas",4.59,1130,2000
"Cinco de Mayo ","Grilled Fish Tacos with Chipotle-Lime Dressing",4.5,721,988
"Cinco de Mayo ","Fiery Fish Tacos with Crunchy Corn Salsa",4.51,567,698
"Cinco de Mayo ","Enchiladas",4.22,282,345
"Cinco de Mayo ","Pico de Gallo",4.66,242,527
"Cinco de Mayo ","Chicken Enchilada Slow Cooker Soup",4.74,159,283
"Cinco de Mayo ","Green Chile Spinach Quiche",4.83,141,188
"Cinco de Mayo ","Jalapeno Cream Cheese Chicken Enchiladas",4.77,113,240
"Easter ","Quinoa, Beet, and Arugula Salad",4.81,112,171
"Easter ","Roasted Rack of Lamb",4.82,688,1000
"Easter ","Easter Meat Pie",4.57,82,94
"Easter ","Sweet Dinner Rolls",4.79,2291,3000
"Easter ","Peanut Butter Bars I",4.61,1945,1000
"Easter ","Spinach Quiche",4.71,1671,2000
"Easter ","Chicken Breasts Pierre",4.55,1523,3000
"Easter ","Garlic Prime Rib",4.82,1309,2000
"Easter ","Cinnamon Rolls III",4.77,1268,2000
"Easter ","Pull-Apart Easter Blossom Bread",4.62,41,58
"Easter ","Honey Glazed Ham",4.68,957,1000
"Easter ","Braided Easter Egg Bread",4.38,239,292
"Easter ","Carrot Cake III",4.72,4737,2000
"Easter ","Grandma's Green Bean Casserole",4.49,1958,2000
"Easter ","Sam's Famous Carrot Cake",4.77,1953,966
"Easter ","Baked Asparagus with Balsamic Butter Sauce",4.61,1536,2000
"Easter ","Grandma's Lemon Meringue Pie",4.61,1645,2000
"Easter ","Red Skinned Potato Salad",4.71,1522,2000
"Easter ","Spinach and Strawberry Salad",4.75,1222,1000
"Easter ","Judy's Strawberry Pretzel Salad",4.74,1089,2000
"Easter ","Simple Deviled Eggs",4.25,122,313
"Easter ","Hot Cross Buns I",4.46,172,81
"Easter ","Carrot Pineapple Cake I",4.77,389,631
"Easter ","Creamy Au Gratin Potatoes",4.51,3325,5000
"Easter ","Strawberry Spinach Salad I",4.77,1823,2000
"Easter ","Crustless Spinach Quiche",4.71,1716,2000
"Easter ","Beef Stroganoff III",4.58,1672,3000
"Easter ","Ninety Minute Cinnamon Rolls",4.65,1553,2000
"Easter ","Oven-Roasted Asparagus",4.78,1029,3000
"Halloween ","Toasted Pumpkin Seeds",3.85,21,26
"Halloween ","Cake Balls",4.26,1862,2000
"Halloween ","Witches' Brew",4.32,91,120
"Halloween ","Witches' Hats",4.6,30,84
"Halloween ","Sloppy Joes II",4.65,4506,7000
"Halloween ","Pumpkin Chocolate Chip Cookies III",4.54,1191,814
"Halloween ","Spiced Pumpkin Seeds",4.5,756,956
"Halloween ","Russian Mushroom and Potato Soup",4.74,751,923
"Halloween ","Pumpkin Ginger Cupcakes",4.84,629,923
"Halloween ","Spicy Rapid Roast Chicken",4.49,614,427
"Halloween ","Peanut Butter Spider Cookies",4.75,14,43
"Halloween ","Bloody Broken Glass Cupcakes",4.36,68,132
"Halloween ","The Best Rolled Sugar Cookies",4.43,7210,3000
"Halloween ","Iced Pumpkin Cookies",4.72,3017,1000
"Halloween ","Chocolate Chip Cheese Ball",4.68,1003,1000
"Halloween ","Granny Kat's Pumpkin Roll",4.68,904,1000
